Faculty Name,University,Conference,Category,Score,Matched
Shuicheng Yan,National University of Singapore,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Eric P. Xing,MBZUAI,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Yi-Zhe Song,University of Surrey,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Shaogang Gong,Queen Mary University of London,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
KyungHyun Cho,New York University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Akihiro Sugimoto,National Institute of Informatics,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Tomás Pajdla,Czech Technical University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Yung-Yu Chuang,National Taiwan University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Thomas Brox,University of Freiburg,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Jaakko Lehtinen,Aalto University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Yuichi Yoshida,National Institute of Informatics,CVPR,Computer Vision & Image Processing,0.0625,Yes
Brian Kulis,Boston University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Mario Fritz,CISPA Helmholtz Center,CVPR,Computer Vision & Image Processing,0.0625,Yes
Trevor Darrell,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.0625,Yes
Dequan Wang,Shanghai Jiao Tong University,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Judy Hoffman,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.0277777777777777,Yes
Alexandre Alahi,EPFL,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
James Andrew Bagnell,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Martial Hebert,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Kyoung Mu Lee,Seoul National University,CVPR,Computer Vision & Image Processing,0.04,Yes
Terrance E. Boult,UCCS,CVPR,Computer Vision & Image Processing,0.25,Yes
Zongyuan Ge,Monash University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Andrew Gordon Wilson,New York University,CVPR,Computer Vision & Image Processing,0.0204081632653061,Yes
Angjoo Kanazawa,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.0625,Yes
David W. Jacobs,University of Maryland - College Park,CVPR,Computer Vision & Image Processing,0.0625,Yes
Yarin Gal,University of Oxford,CVPR,Computer Vision & Image Processing,0.25,Yes
Sumit Chopra,New York University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Abhinav Gupta 0001,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.04,Yes
Josef Sivic,Czech Technical University,CVPR,Computer Vision & Image Processing,0.04,Yes
Alexei A. Efros,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.04,Yes
Deepak Pathak,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.04,Yes
Yunchao Wei,Beijing Jiaotong University,CVPR,Computer Vision & Image Processing,0.0123456790123456,Yes
Jinjun Xiong,University at Buffalo,CVPR,Computer Vision & Image Processing,0.0123456790123456,Yes
Honghui Shi,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.0123456790123456,Yes
Toshihiko Yamasaki,University of Tokyo,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Ron Kimmel,Technion,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Feng Liu 0015,Portland State University,CVPR,Computer Vision & Image Processing,0.0625,Yes
Michael Gleicher,University of Wisconsin - Madison,CVPR,Computer Vision & Image Processing,0.0625,Yes
In So Kweon,KAIST,CVPR,Computer Vision & Image Processing,0.0625,Yes
Wei-Chen Chiu,National Chiao Tung University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Hatice Gunes,University of Cambridge,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Andrea Cavallaro,Queen Mary University of London,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
