Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
74,Concordia University,0.0,4.351587301587301,0.0,12.694047619047618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
75,University of Cambridge,0.0,37.28426748689907,0.0,13.637049062049062,9.909523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
76,ETH Zurich,0.0,45.29576257076259,0.0,211.87627002626996,4.832352369852369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
77,University of Freiburg,0.0,25.892099567099564,0.0,86.77463924963928,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
78,University of Wisconsin - Madison,0.0,40.96889589169002,0.0,44.74105339105341,1.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
79,Oregon State University,0.0,9.159523809523808,0.0,33.499415204678364,1.3250000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
80,Illinois Institute of Technology,0.0,1.5666666666666664,0.0,0.8333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
81,Peking University,0.0,44.106385281385286,0.0,96.58443362193375,3.515726817042606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
82,University of North Carolina,0.0,17.638935574229688,0.0,66.0438852813853,8.619298245614036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
83,University of Tübingen,0.0,34.10164141414142,0.0,133.94484126984133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
84,National University of Singapore,0.0,35.749206349206354,0.0,55.09269480519483,9.283333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
85,Harbin Institute of Technology,0.0,10.169047619047616,0.0,45.57217509193318,8.809199134199135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
86,Rice University,0.0,13.209956709956712,0.0,21.986580086580087,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
87,West Virginia University,0.0,0.9166666666666666,0.0,7.010714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
88,University of Surrey,0.0,5.308333333333333,0.0,52.3597041847042,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
89,Korea University,0.0,5.783333333333334,0.0,32.27695209697497,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
90,Stony Brook University,0.0,6.78452380952381,0.0,27.08809523809524,2.8409090909090904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
