Rank,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
205,Chinese Academy of Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Shanghai Jiao Tong University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,University of Technology Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,University of Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Georgia Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,University of Göttingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Izmir Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Izmir Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Izmir Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Izmir Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Oregon State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Universidad de Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,University of Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Louisiana Tech University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Yale University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Imperial College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,TU Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Univ. of California - Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Chinese Academy of Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,TU Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Heriot-Watt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Oregon State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,National University of Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,University of Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,University of Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Univ. of California - Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,University of New Orleans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,University of Calgary,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,CISPA Helmholtz Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,North Carolina State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,University of Chicago,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,TU Delft,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Ecole Normale Superieure de Cachan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,New York University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,IMDEA Software Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,National University of Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Uppsala University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Malmö University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Uppsala University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Uppsala University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,University of Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,North Carolina State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Washington State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,TU Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Universidad de Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,University of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Purdue University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,King's College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Universidad de Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Princeton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,University of Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,University of Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,New York University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Northwestern University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,University of Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Washington State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,University of Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,University of Wisconsin - Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Princeton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,University of Technology Sydney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Heriot-Watt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,University of Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,TU Clausthal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,University of Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Saarland University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Imperial College London,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,University of Massachusetts Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,University of Massachusetts Amherst,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Carnegie Mellon University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,University of Magdeburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,New York University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,University of Texas at Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Univ. of California - Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,University of Münster,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Duke University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,University of Vienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Northern Arizona University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,CISPA Helmholtz Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,UNSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,University of Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Chinese University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Chinese University of Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,North Carolina State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,University of Trier,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Universidad de Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,University of Potsdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Bauhaus University Weimar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,University of Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Tel Aviv University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,IIT Guwahati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Technion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Bar-Ilan University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,University of Antwerp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,KTH Royal Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,KTH Royal Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Ecole Normale Superieure de Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,IT University of Copenhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,Aalborg University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,CUHK (SZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,University of Massachusetts Lowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,KAIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
