Title,Authors,Venue,Year,URL
Context Aware Local Differential Privacy.,"Jayadev Acharya, Kallista A. Bonawitz, Peter Kairouz, Daniel Ramage, Ziteng Sun",ICML,2020,http://proceedings.mlr.press/v119/acharya20a.html
Efficient Intervention Design for Causal Discovery with Latents.,"Raghavendra Addanki, Shiva Prasad Kasiviswanathan, Andrew McGregor 0001, Cameron Musco",ICML,2020,http://proceedings.mlr.press/v119/addanki20a.html
The Neural Tangent Kernel in High Dimensions: Triple Descent and a Multi-Scale Theory of Generalization.,"Ben Adlam, Jeffrey Pennington",ICML,2020,http://proceedings.mlr.press/v119/adlam20a.html
Boosting for Control of Dynamical Systems.,"Naman Agarwal, Nataly Brukhim, Elad Hazan, Zhou Lu",ICML,2020,http://proceedings.mlr.press/v119/agarwal20b.html
An Optimistic Perspective on Offline Reinforcement Learning.,"Rishabh Agarwal, Dale Schuurmans, Mohammad Norouzi 0002",ICML,2020,http://proceedings.mlr.press/v119/agarwal20c.html
LazyIter: A Fast Algorithm for Counting Markov Equivalent DAGs and Designing Experiments.,"Ali AhmadiTeshnizi, Saber Salehkaleybar, Negar Kiyavash",ICML,2020,http://proceedings.mlr.press/v119/ahmaditeshnizi20a.html
Learning What to Defer for Maximum Independent Sets.,"Sungsoo Ahn, Younggyo Seo, Jinwoo Shin",ICML,2020,http://proceedings.mlr.press/v119/ahn20a.html
Invariant Risk Minimization Games.,"Kartik Ahuja, Karthikeyan Shanmugam, Kush R. Varshney, Amit Dhurandhar",ICML,2020,http://proceedings.mlr.press/v119/ahuja20a.html
Why bigger is not always better: on finite and infinite neural networks.,Laurence Aitchison,ICML,2020,http://proceedings.mlr.press/v119/aitchison20a.html
Discriminative Jackknife: Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions.,"Ahmed M. Alaa, Mihaela van der Schaar",ICML,2020,http://proceedings.mlr.press/v119/alaa20a.html
Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions.,"Ahmed M. Alaa, Mihaela van der Schaar",ICML,2020,http://proceedings.mlr.press/v119/alaa20b.html
Random extrapolation for primal-dual coordinate descent.,"Ahmet Alacaoglu, Olivier Fercoq, Volkan Cevher",ICML,2020,http://proceedings.mlr.press/v119/alacaoglu20a.html
A new regret analysis for Adam-type algorithms.,"Ahmet Alacaoglu, Yura Malitsky, Panayotis Mertikopoulos, Volkan Cevher",ICML,2020,http://proceedings.mlr.press/v119/alacaoglu20b.html
Restarted Bayesian Online Change-point Detector achieves Optimal Detection Delay.,"Réda Alami, Odalric Maillard, Raphaël Féraud",ICML,2020,http://proceedings.mlr.press/v119/alami20a.html
Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation.,"Amr Alexandari, Anshul Kundaje, Avanti Shrikumar",ICML,2020,http://proceedings.mlr.press/v119/alexandari20a.html
The Implicit Regularization of Stochastic Gradient Flow for Least Squares.,"Alnur Ali, Edgar Dobriban, Ryan J. Tibshirani",ICML,2020,http://proceedings.mlr.press/v119/ali20a.html
Uncertainty Estimation Using a Single Deep Deterministic Neural Network.,"Joost van Amersfoort, Lewis Smith, Yee Whye Teh, Yarin Gal",ICML,2020,http://proceedings.mlr.press/v119/van-amersfoort20a.html
LowFER: Low-rank Bilinear Pooling for Link Prediction.,"Saadullah Amin, Stalin Varanasi, Katherine Ann Dunfield, Günter Neumann",ICML,2020,http://proceedings.mlr.press/v119/amin20a.html
Discount Factor as a Regularizer in Reinforcement Learning.,"Ron Amit, Ron Meir, Kamil Ciosek",ICML,2020,http://proceedings.mlr.press/v119/amit20a.html
Neuro-Symbolic Visual Reasoning: Disentangling &quot;Visual&quot; from &quot;Reasoning&quot;.,"Saeed Amizadeh, Hamid Palangi, Alex Polozov, Yichen Huang, Kazuhito Koishida",ICML,2020,http://proceedings.mlr.press/v119/amizadeh20a.html
The Differentiable Cross-Entropy Method.,"Brandon Amos, Denis Yarats",ICML,2020,http://proceedings.mlr.press/v119/amos20a.html
Customizing ML Predictions for Online Algorithms.,"Keerti Anand, Rong Ge 0001, Debmalya Panigrahi",ICML,2020,http://proceedings.mlr.press/v119/anand20a.html
Fairwashing explanations with off-manifold detergent.,"Christopher J. Anders, Plamen Pasliev, Ann-Kathrin Dombrowski, Klaus-Robert Müller, Pan Kessel",ICML,2020,http://proceedings.mlr.press/v119/anders20a.html
Population-Based Black-Box Optimization for Biological Sequence Design.,"Christof Angermüller, David Belanger, Andreea Gane, Zelda Mariet, David Dohan, Kevin Murphy 0002, Lucy J. Colwell, D. Sculley",ICML,2020,http://proceedings.mlr.press/v119/angermueller20a.html
Low-loss connection of weight vectors: distribution-based approaches.,"Ivan Anokhin, Dmitry Yarotsky",ICML,2020,http://proceedings.mlr.press/v119/anokhin20a.html
Online metric algorithms with untrusted predictions.,"Antonios Antoniadis 0001, Christian Coester, Marek Eliás 0001, Adam Polak 0001, Bertrand Simon 0001",ICML,2020,http://proceedings.mlr.press/v119/antoniadis20a.html
NADS: Neural Architecture Distribution Search for Uncertainty Awareness.,"Randy Ardywibowo, Shahin Boluki, Xinyu Gong, Zhangyang Wang, Xiaoning Qian",ICML,2020,http://proceedings.mlr.press/v119/ardywibowo20a.html
Provable Representation Learning for Imitation Learning via Bi-level Optimization.,"Sanjeev Arora, Simon S. Du, Sham M. Kakade, Yuping Luo, Nikunj Saunshi",ICML,2020,http://proceedings.mlr.press/v119/arora20a.html
Quantum Boosting.,"Srinivasan Arunachalam, Reevu Maity",ICML,2020,http://proceedings.mlr.press/v119/arunachalam20a.html
Black-box Certification and Learning under Adversarial Perturbations.,"Hassan Ashtiani, Vinayak Pathak, Ruth Urner",ICML,2020,http://proceedings.mlr.press/v119/ashtiani20a.html
Invertible generative models for inverse problems: mitigating representation error and dataset bias.,"Muhammad Asim 0005, Max Daniels, Oscar Leong, Ali Ahmed 0004, Paul Hand",ICML,2020,http://proceedings.mlr.press/v119/asim20a.html
On the Convergence of Nesterov&apos;s Accelerated Gradient Method in Stochastic Settings.,"Mahmoud Assran, Mike Rabbat",ICML,2020,http://proceedings.mlr.press/v119/assran20a.html
Safe screening rules for L0-regression from Perspective Relaxations.,"Alper Atamtürk, Andrés Gómez 0001",ICML,2020,http://proceedings.mlr.press/v119/atamturk20a.html
Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks.,"Pranjal Awasthi, Natalie Frank, Mehryar Mohri",ICML,2020,http://proceedings.mlr.press/v119/awasthi20a.html
Sample Amplification: Increasing Dataset Size even when Learning is Impossible.,"Brian Axelrod, Shivam Garg 0001, Vatsal Sharan, Gregory Valiant",ICML,2020,http://proceedings.mlr.press/v119/axelrod20a.html
