Author,University
Xiaodan Liang,Sun Yat-sen University
Tong Zhang 0001,HKUST
C.-C. Jay Kuo,University of Southern California
Yi Ma 0001,Univ. of California - Berkeley
Boxin Shi,Peking University
Deepti Ghadiyaram,Boston University
Jordi Torres,Polytechnic University of Catalonia
Yogesh S. Rawat,University of Central Florida
Mubarak Shah,University of Central Florida
Zhuowen Tu,Univ. of California - San Diego
Graham W. Taylor,University of Guelph
Pascal Fua,EPFL
Anurag Mittal,IIT Madras
Daniel Cremers,TU Munich
Chris Russell 0001,University of Surrey
Bastian Leibe,RWTH Aachen University
Carl Vondrick,Columbia University
Henry Gouk,University of Edinburgh
Timothy M. Hospedales,University of Edinburgh
Björn Ommer,LMU Munich
Yi Yang 0001,Zhejiang University
Mohan S. Kankanhalli,National University of Singapore
Chi-Keung Tang,HKUST
Yu-Wing Tai,Dartmouth College
Song-Chun Zhu,Peking University
Yixin Zhu 0001,Peking University
Boqing Gong,Boston University
Hujun Bao,Zhejiang University
Xiaowei Zhou,Zhejiang University
Wei Shen 0002,Shanghai Jiao Tong University
Manmohan Chandraker,Univ. of California - San Diego
Luc Van Gool,ETH Zurich
Jürgen Gall,University of Bonn
Kaiming He,Massachusetts Institute of Technology
Frank Köster,University of Oldenburg
Stan Sclaroff,Boston University
Wei-Shi Zheng 0001,Sun Yat-sen University
Huaijin G. Chen,University of Hawaii at Manoa
Chen Change Loy,Nanyang Technological University
Jinwei Gu,Chinese University of Hong Kong
Junhui Hou,City University of Hong Kong
Hujun Bao,Zhejiang University
João Paulo Costeira,Universidade de Lisboa
Horst-Michael Gross,TU Ilmenau
Patrick Mäder,TU Ilmenau
Nils Thuerey,TU Munich
Yao Zhao 0001,Beijing Jiaotong University
Jianmin Wang 0001,Tsinghua University
Mingsheng Long,Tsinghua University
Yunhong Wang,Beihang University
Humphrey Shi,Georgia Institute of Technology
Xing Xu 0001,UESTC
Yanli Ji,UESTC
Hongkai Yu,Cleveland State University
Yang Liu 0003,Nanyang Technological University
Song Wang 0002,University of South Carolina
Chunxia Xiao,Wuhan University
